time	RMSD_R1	RMSD_R2	RMSD_R3
52.1	6.23	5.45	5.57
52.2	5.97	5.43	5.33
52.3	5.46	5.02	4.35
52.4	5.55	4.71	4.55
52.5	5.89	5.11	3.36
52.6	7.57	5.06	4.49
52.7	8.62	5.25	4.16
52.8	8.61	4.85	4.37
52.9	8.19	4.98	4.18
53.0	7.69	5.25	3.29
53.1	7.54	5.22	3.34
53.2	7.64	4.85	2.64
53.3	7.45	5.09	2.77
53.4	7.81	4.63	2.86
53.5	10.1	4.74	2.09
53.6	9.38	5.38	2.48
53.7	8.92	4.57	3.08
53.8	8.93	4.32	3.01
53.9	10.04	4.08	2.37
54.0	10.1	4.23	1.7
54.1	10.21	4.12	2.38
54.2	11.18	5.08	2.2
54.3	10.03	5.18	1.6
54.4	10.43	4.72	1.78
54.5	10.02	4.55	1.86
54.6	8.87	4.53	1.93
54.7	9.48	4.62	1.92
54.8	9.02	3.93	2.33
54.9	8.64	3.55	2.35
55.0	8.09	4.23	2.6
55.1	8.58	4.09	2.33
55.2	8.35	4.13	2.41
55.3	8.96	4.32	1.92
55.4	9.14	4.33	2.8
55.5	9.33	4.26	2.4
55.6	10.35	4.44	2.52
55.7	10.4	3.77	2.62
55.8	10.4	3.25	3.2
55.9	10.83	4.4	3.24
56.0	11.43	4.12	3.27
56.1	11.71	4.3	2.14
56.2	12.68	4.95	2.48
56.3	13.17	4.68	2.87
56.4	12.2	4.53	2.95
56.5	12.98	4.52	2.66
56.6	12.96	3.86	2.77
56.7	13.26	4.4	2.19
56.8	13.36	4.5	2.29
56.9	12.54	4.37	2.54
57.0	12.62	4.74	2.44
57.1	13.42	4.53	2.68
57.2	12.08	4.01	2.4
57.3	12.12	4.92	2.61
57.4	11.36	4.41	2.28
57.5	11.35	4.83	2.14
57.6	12.13	5.06	2.03
57.7	12.85	4.27	2.3
57.8	11.45	4.89	2.5
57.9	11.46	5.25	2.87
58.0	10.49	5.05	2.86
58.1	10.92	5.36	3.29
58.2	10.63	5.21	3.23
58.3	10.43	4.85	4.44
